시도명,시군구명,도서관수,열람좌석수,자료수_도서,대출가능권수,대출자수,대출권수,자료구입비_천원,대출자수_대비_도서관수,대출권수_대비_열람좌석수,대출권수_대비_자료수_도서
경기도,평택시,14,4082,1215904,210,139135.0,1647578.0,870239.0,9938.214285714286,403.6202841744243,1.355023093928468
경기도,포천시,7,983,399336,49,13771.0,202741.0,306689.0,1967.2857142857142,206.2472024415056,0.5076952741550974
경기도,하남시,8,3061,670063,40,86133.0,1584519.0,607957.0,10766.625,517.6475008167265,2.3647313760049427
경기도,화성시,32,7762,2052181,230,320263.0,3999849.0,1722667.0,10008.21875,515.3116464828653,1.9490722309581854
경상남도,거제시,31,2894,671278,45099,127742.0,795296.0,620455.0,4120.709677419355,274.80856945404287,1.1847490905407299
경상남도,거창군,2,600,179589,25,20320.0,139519.0,193567.0,10160.0,232.53166666666667,0.776879430254637
경상남도,고성군,3,601,166935,28,24619.0,117695.0,202740.0,8206.333333333334,195.83194675540764,0.7050348938209483
경상남도,김해시,52,5570,1675614,550,301127.0,1766060.0,990304.0,5790.903846153846,317.0664272890485,1.0539778254418977
경상남도,남해군,2,374,167826,24,5811.0,61620.0,76371.0,2905.5,164.75935828877004,0.3671659933502556
경상남도,밀양시,6,777,376087,60,57189.0,176622.0,302755.0,9531.5,227.3127413127413,0.46963069715252054
경상남도,사천시,4,822,253255,50,36289.0,296962.0,498059.0,9072.25,361.2676399026764,1.1725809954393793
경상남도,산청군,3,423,160800,47,17139.0,84080.0,140060.0,5713.0,198.77068557919623,0.5228855721393035
경상남도,양산시,9,4507,638090,95,83528.0,1040410.0,701528.0,9280.888888888889,230.84313290437098,1.6305066683383223
경상남도,의령군,2,558,186026,30,2241.0,42483.0,97240.0,1120.5,76.13440860215054,0.2283713029361487
경상남도,진주시,74,2162,478835,327267,46307.0,876201.0,421914.0,625.7702702702703,405.2733580018501,1.8298599726419331
경상남도,창녕군,3,841,281437,45,17090.0,111150.0,181632.0,5696.666666666667,132.1640903686088,0.39493741050394937
경상남도,창원시,79,8530,3105974,345,302008.0,3259086.0,2209008.0,3822.8860759493673,382.073388042204,1.0492959696378656
경상남도,창원시 마산합포구,2,1115,400205,40,,,,,,
경상남도,창원시 마산회원구,1,675,137702,20,,,,,,
경상남도,창원시 성산구,1,915,349792,20,,,,,,
경상남도,통영시,5,731,348359,40,15500.0,269114.0,247752.0,3100.0,368.14500683994527,0.7725191540910382
경상남도,하동군,12,448,136826,42,11531.0,52187.0,83292.0,960.9166666666666,116.48883928571429,0.38141142765263913
경상남도,함안군,2,605,157560,25,20728.0,120354.0,150960.0,10364.0,198.93223140495869,0.7638613861386139
경상남도,함양군,11,350,120421,32,10055.0,57733.0,92628.0,914.0909090909091,164.95142857142858,0.4794263459031232
경상남도,합천군,17,629,131303,61239,2044.0,45927.0,69380.0,120.23529411764706,73.01589825119237,0.34977875600709807
경상북도,경산시,1,156,171517,10,25805.0,401770.0,646400.0,25805.0,2575.448717948718,2.342450019531592
경상북도,경주시,7,1266,545768,35,44791.0,488651.0,501268.0,6398.714285714285,385.98025276461294,0.8953456413714252
경상북도,고령군,2,382,102516,12,2682.0,54958.0,109200.0,1341.0,143.86910994764398,0.5360919271138164
경상북도,구미시,11,5285,975656,60,116637.0,1069244.0,1377344.0,10603.363636363636,202.3167455061495,1.0959231532425362
경상북도,김천시,10,2121,464152,70,13145.0,391069.0,297250.0,1314.5,184.3795379537954,0.8425451145314466
경상북도,문경시,15,1619,478704,80,7178.0,175731.0,245847.0,478.53333333333336,108.54292773316863,0.36709741301514087
경상북도,봉화군,1,72,85379,5,7537.0,26661.0,77840.0,7537.0,370.2916666666667,0.3122664823902833
경상북도,상주시,9,1352,221962,28,10070.0,191146.0,213195.0,1118.888888888889,141.3801775147929,0.8611654247123381
경상북도,성주군,2,328,99537,15,1891.0,50794.0,62000.0,945.5,154.859756097561,0.510302701507982
경상북도,안동시,7,1673,367809,70,17682.0,545844.0,533151.0,2526.0,326.26658696951586,1.484041989184604
경상북도,영덕군,3,457,79596,16,1696.0,43836.0,46495.0,565.3333333333334,95.92122538293216,0.5507311925222373
경상북도,영양군,4,267,168655,64492,829.0,23215.0,65000.0,207.25,86.94756554307116,0.1376478610180546
경상북도,영주시,7,1833,379524,45,18890.0,273966.0,467248.0,2698.5714285714284,149.4631751227496,0.7218673917854997
