시도명,시군구명,도서관수,열람좌석수,자료수_도서,대출가능권수
인천광역시,남동구,13,3391,1829144,75
인천광역시,동구,8,2474,596981,45
인천광역시,미추홀구,21,3340,1108258,115
인천광역시,부평구,58,6792,2226234,210
인천광역시,서구,112,8579,2182591,187
인천광역시,연수구,27,4663,1480322,145
인천광역시,옹진군,9,461,180697,25
인천광역시,중구,33,1747,415563,52
전라남도,강진군,1,201,142553,5
전라남도,고흥군,1,960,98600,10
전라남도,곡성군,3,616,131681,20
전라남도,광양시,8,2794,587811,80
전라남도,구례군,2,545,99321,20
전라남도,나주시,4,2123,558058,27
전라남도,담양군,12,1345,241224,119484
전라남도,목포시,24,3389,827828,135
전라남도,무안군,33,1860,630653,107
전라남도,보성군,3,880,190048,35
전라남도,순천시,7,6114,699531,130
전라남도,신안군,4,0,68070,20
전라남도,여수시,8,4831,870905,45
전라남도,영광군,2,713,194458,25
전라남도,영암군,4,1525,362738,1008
전라남도,완도군,3,476,224139,253616
전라남도,장성군,4,1415,356002,40
전라남도,장흥군,2,712,180942,17
전라남도,진도군,2,591,153352,13
전라남도,함평군,10,495,127651,36
전라남도,해남군,2,940,191991,15
전라남도,화순군,14,1230,223145,60
전라북도,순창군,1,65,34773,4
전북특별자치도,고창군,10,485,241033,50
전북특별자치도,군산시,24,3178,819820,115
전북특별자치도,김제시,2,236,112232,10
전북특별자치도,남원시,23,1288,387010,119
전북특별자치도,무주군,7,548,147097,40
전북특별자치도,부안군,8,496,188935,37
전북특별자치도,순창군,1,276,73934,10
전북특별자치도,완주군,13,1515,444015,70
전북특별자치도,익산시,9,1301,1065798,45
전북특별자치도,임실군,9,466,166640,90
전북특별자치도,장수군,2,148,110144,10
전북특별자치도,전주시,41,5383,1671689,281
전북특별자치도,정읍시,17,1372,493809,85
전북특별자치도,진안군,2,257,102671,10
제주특별자치도,서귀포시,40,4210,1698079,182
제주특별자치도,제주시,16,5816,2269190,85
충청남도,계룡시,2,739,155198,10
충청남도,공주시,4,1317,462193,273831
충청남도,금산군,9,600,222568,90
충청남도,논산시,6,900,394631,60
충청남도,당진시,13,1482,415439,60
충청남도,보령시,11,589,425493,85
충청남도,부여군,1,211,31806,10
충청남도,서산시,9,1043,629170,60
충청남도,서천군,2,186,155525,25
충청남도,아산시,7,1842,702000,70
충청남도,예산군,2,402,148940,8
충청남도,천안시,20,4295,1132099,200
충청남도,청양군,2,318,131626,41543
충청남도,태안군,3,299,236697,30
충청남도,홍성군,7,1704,510455,53
충청북도,괴산군,1,340,63499,10
충청북도,괴산군 괴산읍,1,399,68223,5
충청북도,단양군,3,463,172381,25
충청북도,보은군,2,491,66235,10
충청북도,영동군,39,2402,649695,102
충청북도,옥천군,2,402,101644,10
충청북도,음성군,6,1001,245142,30
충청북도,제천시,6,605,530374,55
충청북도,증평군,2,914,127432,13
충청북도,진천군,4,807,291898,25
충청북도,청주시,16,4154,1972565,155
충청북도,충주시,3,849,640235,15
